,posx,posy,posz,a,b,c,z
0,-0.32,-0.002,230.0,2960,2696,2930,303
1,-0.249,-0.002,230.0,2960,2696,2930,303
2,-0.002,-0.002,230.0,3002,2698,2952,306
3,-0.002,-0.002,230.0,2934,2680,3042,306
4,-0.436,-0.002,220.0,3114,2816,3112,353
5,-0.39,-0.002,220.0,3114,2816,3112,353
6,-0.002,-0.002,220.0,3148,2776,3182,352
7,-0.002,-0.002,220.0,3104,2784,3172,355
8,-0.431,-0.002,210.0,3308,2938,3298,404
9,-0.395,-0.002,210.0,3308,2938,3298,404
10,-0.002,-0.002,210.0,3264,2950,3326,406
11,-0.002,-0.002,210.0,3270,2952,3350,405
12,-0.219,-0.002,200.0,3534,3162,3334,474
13,-0.133,-0.002,200.0,3430,3090,3414,474
14,-0.002,-0.002,200.0,3434,3118,3500,474
15,-0.002,-0.002,200.0,3424,3080,3476,473
16,-0.385,-0.002,190.0,3680,3290,3578,555
17,-0.309,-0.002,190.0,3680,3290,3578,555
18,-0.002,-0.002,190.0,3638,3284,3644,559
19,-0.002,-0.002,190.0,3678,3282,3632,557
20,-0.426,-0.002,180.0,3790,3266,3698,647
21,-0.304,-0.002,180.0,3790,3266,3698,647
22,-0.002,-0.002,180.0,3799,3229,3735,649
23,-0.002,-0.002,180.0,3854,3238,3790,646
24,-0.128,-0.002,170.0,3946,3330,3836,778
25,-0.002,-0.002,170.0,3910,3404,3946,757
26,-0.002,-0.002,170.0,3919,3348,3910,783
27,-0.148,-0.002,160.0,4195,3514,4075,933
28,-0.103,-0.002,160.0,4195,3514,4075,933
29,-0.002,-0.002,160.0,4121,3404,4029,935
30,-0.002,-0.002,160.0,4084,3532,4038,935
31,-0.395,-0.002,150.0,4278,3514,4232,1134
32,-0.002,-0.002,150.0,4287,3514,4204,1133
33,-0.002,-0.002,150.0,4213,3606,4213,1128
34,-0.35,-0.002,140.0,4535,3762,4296,1381
35,-0.299,-0.002,140.0,4535,3762,4296,1381
36,-0.002,-0.002,140.0,4452,3744,4452,1376
37,-0.002,-0.002,140.0,4498,3726,4351,1373
38,-0.36,-0.002,130.0,4738,4002,4489,1691
39,-0.002,-0.002,130.0,4710,3946,4508,1691
40,-0.002,-0.002,130.0,4618,3928,4526,1686
41,-0.33,-0.002,120.0,4958,4002,4609,1909
42,-0.002,-0.002,120.0,4949,3946,4765,1910
43,-0.002,-0.002,120.0,4719,3956,4701,1909
44,-0.405,-0.002,110.0,5124,4084,4682,2511
45,-0.002,-0.002,110.0,5142,4020,4747,2493
46,-0.002,-0.002,110.0,5032,4094,4793,2502
47,-0.481,-0.002,100.0,5317,4232,4903,3195
48,-0.37,-0.002,100.0,5317,4232,4903,3195
49,-0.002,-0.002,100.0,5317,4232,4903,3195
50,-0.002,-0.002,100.0,5446,4094,5069,3186
51,-0.002,-0.002,100.0,5115,4213,4986,3177
52,-0.153,-0.002,90.0,5584,4333,4977,4131
53,-0.103,-0.002,90.0,5584,4333,4977,4131
54,-0.002,-0.002,90.0,5713,4084,5133,4140
55,-0.002,-0.002,90.0,5584,4213,5014,4122
56,-0.193,-0.002,80.0,5906,4443,4784,5409
57,-0.092,-0.002,80.0,5989,4186,5078,5418
58,-0.002,-0.002,80.0,5713,4112,5244,5409
59,-0.002,-0.002,80.0,5897,4296,5133,5445
60,-0.466,-0.002,70.0,6246,4305,4774,7155
61,-0.36,-0.002,70.0,6246,4305,4774,7155
62,-0.002,-0.002,70.0,5860,4094,5244,7218
63,-0.002,-0.002,70.0,5878,4103,5253,7182
64,-0.456,-0.002,60.0,6421,4020,4784,9702
65,-0.34,-0.002,60.0,6421,4020,4784,9702
66,-0.002,-0.002,60.0,6265,4029,5207,9675
67,-0.002,-0.002,60.0,6210,3891,5115,9711
68,-0.41,-0.002,50.0,6256,3652,4360,13374
69,-0.002,-0.002,50.0,6081,3569,4968,13437
70,-0.002,-0.002,50.0,6099,3578,4922,13527
71,-0.481,-0.002,40.0,5759,3183,4121,24939
72,-0.385,-0.002,40.0,5759,3183,4121,24939
73,-0.002,-0.002,40.0,5722,3082,4397,24966
74,-0.002,-0.002,40.0,5860,3155,4563,24939
75,-0.153,-0.002,30.0,5317,2392,3597,28179
76,-0.103,-0.002,30.0,5317,2392,3597,28179
77,-0.002,-0.002,30.0,5455,2143,3873,28170
78,-0.002,-0.002,30.0,5520,2290,3818,28152
79,-0.486,-0.002,20.0,4563,1242,2152,32211
80,-0.335,-0.002,20.0,4563,1242,2152,32211
81,-0.002,-0.002,20.0,4296,1186,2806,32238
82,-0.002,-0.002,20.0,4406,1232,2686,32274
83,-0.461,-0.002,10.0,2934,588,791,34740
84,-0.34,-0.002,10.0,2934,588,791,34740
85,-0.002,-0.002,10.0,2934,588,791,34740
86,-0.002,-0.002,10.0,2677,561,892,34740
87,-0.002,-0.002,10.0,2603,588,809,34749
88,-0.219,-0.002,0.0,2042,542,515,35595
89,-0.113,-0.002,0.0,1619,552,726,35595
90,-0.002,-0.002,0.0,944,472,348,35595
91,-0.002,-0.002,0.0,1016,456,380,35595
